name,genre,year,score,votes,director,star
Three Colors: Blue,Drama,1993,7.9,93000.0,Krzysztof Kieslowski,Juliette Binoche
Grumpy Old Men,Comedy,1993,7.0,45000.0,Donald Petrie,Jack Lemmon
A Perfect World,Crime,1993,7.5,76000.0,Clint Eastwood,Kevin Costner
Leprechaun,Comedy,1993,4.8,25000.0,Mark Jones,Warwick Davis
Malice,Crime,1993,6.4,24000.0,Harold Becker,Alec Baldwin
What's Love Got to Do with It,Biography,1993,7.3,18000.0,Brian Gibson,Angela Bassett
Short Cuts,Comedy,1993,7.7,43000.0,Robert Altman,Andie MacDowell
Son in Law,Comedy,1993,5.8,18000.0,Steve Rash,Pauly Shore
Striking Distance,Action,1993,5.9,41000.0,Rowdy Herrington,Bruce Willis
Return of the Living Dead III,Horror,1993,5.9,14000.0,Brian Yuzna,Kent McCord
Searching for Bobby Fischer,Biography,1993,7.4,37000.0,Steven Zaillian,Joe Mantegna
Jason Goes to Hell: the Final Friday,Fantasy,1993,4.2,29000.0,Adam Marcus,John D. LeMay
Matinee,Comedy,1993,6.9,10000.0,Joe Dante,John Goodman
The Good Son,Drama,1993,6.4,37000.0,Joseph Ruben,Macaulay Culkin
The Beverly Hillbillies,Comedy,1993,5.0,18000.0,Penelope Spheeris,Diedrich Bader
Beethoven's 2nd,Comedy,1993,4.9,26000.0,Rod Daniel,Charles Grodin
Killing Zoe,Crime,1993,6.5,20000.0,Roger Avary,Eric Stoltz
Cronos,Fantasy,1993,6.7,28000.0,Guillermo del Toro,Federico Luppi
Geronimo: An American Legend,Drama,1993,6.5,9900.0,Walter Hill,Jason Patric
Wayne's World 2,Comedy,1993,6.2,79000.0,Stephen Surjik,Mike Myers
Point of No Return,Action,1993,6.1,26000.0,John Badham,Bridget Fonda
Boxing Helena,Drama,1993,4.7,12000.0,Jennifer Lynch,Julian Sands
Romeo Is Bleeding,Crime,1993,6.6,13000.0,Peter Medak,Gary Oldman
Rising Sun,Action,1993,6.3,43000.0,Philip Kaufman,Sean Connery
For Love or Money,Comedy,1993,6.2,13000.0,Barry Sonnenfeld,Michael J. Fox
Teenage Mutant Ninja Turtles III,Action,1993,4.8,32000.0,Stuart Gillard,Elias Koteas
Body Snatchers,Horror,1993,6.0,17000.0,Abel Ferrara,Gabrielle Anwar
Stalingrad,Drama,1993,7.5,32000.0,Joseph Vilsmaier,Dominique Horwitz
Airborne,Adventure,1993,6.3,6500.0,Rob Bowman,Shane McDermott
The Thing Called Love,Comedy,1993,6.4,7400.0,Peter Bogdanovich,River Phoenix
The Vanishing,Drama,1993,6.3,24000.0,George Sluizer,Jeff Bridges
The House of the Spirits,Drama,1993,6.9,22000.0,Bille August,Jeremy Irons
Undercover Blues,Comedy,1993,6.1,7700.0,Herbert Ross,Kathleen Turner
Little Buddha,Drama,1993,6.1,16000.0,Bernardo Bertolucci,Keanu Reeves
Dragon,Action,1993,7.0,29000.0,Rob Cohen,Jason Scott Lee
Poetic Justice,Drama,1993,6.1,13000.0,John Singleton,Janet Jackson
The Joy Luck Club,Drama,1993,7.7,16000.0,Wayne Wang,Tamlyn Tomita
The Cement Garden,Drama,1993,7.1,4500.0,Andrew Birkin,Charlotte Gainsbourg
Untamed Heart,Drama,1993,6.8,13000.0,Tony Bill,Christian Slater
Batman: Mask of the Phantasm,Animation,1993,7.8,45000.0,Directors,Kevin Conroy
Freaked,Comedy,1993,6.4,6700.0,Tom Stern,Brooke Shields
Swing Kids,Drama,1993,6.8,16000.0,Thomas Carter,Robert Sean Leonard
Heart and Souls,Comedy,1993,7.0,17000.0,Ron Underwood,Robert Downey Jr.
Needful Things,Crime,1993,6.3,24000.0,Fraser C. Heston,Max von Sydow
Ruby in Paradise,Drama,1993,7.0,2500.0,Victor Nunez,Ashley Judd
Six Degrees of Separation,Comedy,1993,6.8,20000.0,Fred Schepisi,Will Smith
The Man Without a Face,Drama,1993,6.7,28000.0,Mel Gibson,Mel Gibson
Farewell My Concubine,Drama,1993,8.1,26000.0,Kaige Chen,Leslie Cheung
Sniper,Action,1993,6.1,23000.0,Luis Llosa,Tom Berenger
Judgment Night,Action,1993,6.6,16000.0,Stephen Hopkins,Emilio Estevez
Shadowlands,Biography,1993,7.3,18000.0,Richard Attenborough,Anthony Hopkins
Arizona Dream,Comedy,1993,7.3,42000.0,Emir Kusturica,Johnny Depp
Nowhere to Run,Action,1993,5.7,22000.0,Robert Harmon,Jean-Claude Van Damme
King of the Hill,Drama,1993,7.4,7800.0,Steven Soderbergh,Jesse Bradford
Mad Dog and Glory,Comedy,1993,6.2,21000.0,John McNaughton,Robert De Niro
We're Back! A Dinosaur's Story,Animation,1993,6.1,14000.0,Directors,John Goodman
Red Rock West,Crime,1993,7.0,21000.0,John Dahl,Nicolas Cage
The Program,Action,1993,6.5,9700.0,David S. Ward,James Caan
Ghost in the Machine,Horror,1993,4.6,3400.0,Rachel Talalay,Karen Allen
Fearless,Drama,1993,7.1,22000.0,Peter Weir,Jeff Bridges
Manhattan Murder Mystery,Comedy,1993,7.3,41000.0,Woody Allen,Woody Allen
Surf Ninjas,Action,1993,5.1,7700.0,Neal Israel,Ernie Reyes Sr.
Weekend at Bernie's II,Adventure,1993,4.8,13000.0,Robert Klane,Andrew McCarthy
Les visiteurs,Comedy,1993,7.1,33000.0,Jean-Marie Poiré,Christian Clavier
The Adventures of Huck Finn,Adventure,1993,6.2,8000.0,Stephen Sommers,Elijah Wood
Made in America,Comedy,1993,5.1,16000.0,Richard Benjamin,Whoopi Goldberg
Dream Lover,Drama,1993,6.2,4500.0,Nicholas Kazan,James Spader
M. Butterfly,Drama,1993,6.8,9000.0,David Cronenberg,Jeremy Irons
The Dark Half,Horror,1993,6.0,16000.0,George A. Romero,Timothy Hutton
Only the Strong,Action,1993,6.6,5900.0,Sheldon Lettich,Mark Dacascos
My Life,Drama,1993,6.8,11000.0,Bruce Joel Rubin,Michael Keaton
Mi vida loca,Crime,1993,6.5,2000.0,Allison Anders,Angel Aviles
Look Who's Talking Now,Comedy,1993,4.4,28000.0,Tom Ropelewski,John Travolta
The Meteor Man,Action,1993,5.2,7800.0,Robert Townsend,Robert Townsend
Fatal Instinct,Comedy,1993,5.8,7000.0,Carl Reiner,Armand Assante
CB4,Comedy,1993,6.3,9000.0,Tamra Davis,Chris Rock
Calendar Girl,Comedy,1993,5.1,2100.0,John Whitesell,Jason Priestley
Heaven & Earth,Action,1993,6.8,14000.0,Oliver Stone,Hiep Thi Le
Indian Summer,Comedy,1993,6.6,5300.0,Mike Binder,Alan Arkin
Once Upon a Forest,Animation,1993,6.5,5200.0,Charles Grosvenor,Michael Crawford
Posse,Western,1993,5.5,4200.0,Mario Van Peebles,Mario Van Peebles
Flesh and Bone,Drama,1993,6.2,5000.0,Steve Kloves,Dennis Quaid
Sommersby,Drama,1993,6.2,20000.0,Jon Amiel,Richard Gere
Even Cowgirls Get the Blues,Comedy,1993,4.4,7100.0,Gus Van Sant,Uma Thurman
Life with Mikey,Comedy,1993,5.6,5600.0,James Lapine,Michael J. Fox
Best of the Best II,Action,1993,5.6,5400.0,Robert Radler,Eric Roberts
The Thief and the Cobbler,Animation,1993,7.1,3700.0,Richard Williams,Vincent Price
My Boyfriend's Back,Comedy,1993,5.4,4300.0,Bob Balaban,Andrew Lowery
Warlock: The Armageddon,Action,1993,5.4,5700.0,Anthony Hickox,Julian Sands
The Scent of Green Papaya,Drama,1993,7.4,8300.0,Anh Hung Tran,Nu Yên-Khê Tran
Kika,Comedy,1993,6.5,13000.0,Pedro Almodóvar,Peter Coyote
Wide Sargasso Sea,Drama,1993,5.7,1900.0,John Duigan,Karina Lombard
Iron Monkey,Action,1993,7.5,16000.0,Woo-Ping Yuen,Rongguang Yu
Mr. Nanny,Action,1993,3.8,8900.0,Michael Gottlieb,Hulk Hogan
The Real McCoy,Crime,1993,5.5,8500.0,Russell Mulcahy,Kim Basinger
3 Ninjas: Knuckle Up,Action,1993,4.3,5400.0,Sang-ok Shin,Victor Wong
Father Hood,Adventure,1993,4.9,2900.0,Darrell Roodt,Patrick Swayze
"Faraway, So Close!",Drama,1993,7.3,7800.0,Wim Wenders,Otto Sander
Dangerous Game,Drama,1993,5.6,3600.0,Abel Ferrara,Harvey Keitel
Deadfall,Crime,1993,4.0,3000.0,Christopher Coppola,Michael Biehn
A Home of Our Own,Biography,1993,7.1,3000.0,Tony Bill,Kathy Bates
A Far Off Place,Adventure,1993,6.6,3400.0,Mikael Salomon,Reese Witherspoon
Guilty as Sin,Crime,1993,5.6,4900.0,Sidney Lumet,Rebecca De Mornay
The Wedding Banquet,Comedy,1993,7.6,14000.0,Ang Lee,Winston Chao
Another Stakeout,Comedy,1993,5.6,13000.0,John Badham,Richard Dreyfuss
Aspen Extreme,Drama,1993,6.0,2800.0,Patrick Hasburgh,Paul Gross
Suture,Drama,1993,6.6,1800.0,Scott McGehee,Dennis Haysbert
Blink,Crime,1993,6.2,8000.0,Michael Apted,Madeleine Stowe
Where the Rivers Flow North,Drama,1993,6.7,464.0,Jay Craven,Rip Torn
Sugar Hill,Crime,1993,5.9,4300.0,Leon Ichaso,Wesley Snipes
Man's Best Friend,Comedy,1993,5.2,4100.0,John Lafia,Ally Sheedy
Mr. Jones,Drama,1993,5.8,6900.0,Mike Figgis,Richard Gere
Carnosaur,Horror,1993,3.6,3700.0,Adam Simon,Diane Ladd
Mr. Wonderful,Comedy,1993,5.9,3200.0,Anthony Minghella,Matt Dillon
Cop & ½,Comedy,1993,4.1,8300.0,Henry Winkler,Burt Reynolds
Madadayo,Drama,1993,7.3,5100.0,Akira Kurosawa,Tatsuo Matsumura
Caro diario,Biography,1993,7.3,7400.0,Nanni Moretti,Nanni Moretti
Jack the Bear,Comedy,1993,6.5,3900.0,Marshall Herskovitz,Danny DeVito
Money for Nothing,Comedy,1993,5.7,3700.0,Ramón Menéndez,John Cusack
Naked in New York,Comedy,1993,5.6,1600.0,Daniel Algrant,Eric Stoltz
Son of the Pink Panther,Comedy,1993,3.9,5000.0,Blake Edwards,Roberto Benigni
Jung on zo,Action,1993,6.8,6100.0,Kirk Wong,Jackie Chan
Totally F***ed Up,Comedy,1993,6.4,3000.0,Gregg Araki,James Duval
"Bodies, Rest & Motion",Drama,1993,5.7,2200.0,Michael Steinberg,Phoebe Cates
House of Cards,Drama,1993,6.2,2600.0,Michael Lessac,Kathleen Turner
Bhaji on the Beach,Comedy,1993,6.4,1100.0,Gurinder Chadha,Kim Vithana
Silent Tongue,Drama,1993,5.3,1100.0,Sam Shepard,Alan Bates
Amos & Andrew,Comedy,1993,5.7,8600.0,E. Max Frye,Nicolas Cage
Splitting Heirs,Comedy,1993,5.5,4100.0,Robert Young,Eric Idle
Born Yesterday,Comedy,1993,5.2,3700.0,Luis Mandoki,Melanie Griffith
Mother's Boys,Drama,1993,5.4,3000.0,Yves Simoneau,Jamie Lee Curtis
The Nutcracker,Family,1993,5.9,1900.0,Emile Ardolino,Darci Kistler
Philadelphia Experiment II,Action,1993,4.5,1900.0,Stephen Cornwell,Brad Johnson
Blue,Biography,1993,7.3,2100.0,Derek Jarman,Derek Jarman
Fear of a Black Hat,Comedy,1993,7.2,3900.0,Rusty Cundieff,Larry B. Scott
Ed and His Dead Mother,Comedy,1993,6.0,1900.0,Jonathan Wacks,Eric Christmas
Boiling Point,Action,1993,5.0,5700.0,James B. Harris,Wesley Snipes
A Dangerous Woman,Drama,1993,5.8,1600.0,Stephen Gyllenhaal,Debra Winger
Josh and S.A.M.,Adventure,1993,5.7,1400.0,Billy Weber,Jacob Tierney
Ethan Frome,Drama,1993,6.2,2000.0,John Madden,Liam Neeson
The Night We Never Met,Comedy,1993,6.0,2400.0,Warren Leight,Matthew Broderick
The Shawshank Redemption,Drama,1994,9.3,2400000.0,Frank Darabont,Tim Robbins
Pulp Fiction,Crime,1994,8.9,1900000.0,Quentin Tarantino,John Travolta
Forrest Gump,Drama,1994,8.8,1900000.0,Robert Zemeckis,Tom Hanks
Léon: The Professional,Action,1994,8.5,1100000.0,Luc Besson,Jean Reno
True Lies,Action,1994,7.2,243000.0,James Cameron,Arnold Schwarzenegger
The Lion King,Animation,1994,8.5,970000.0,Roger Allers,Matthew Broderick
The Mask,Action,1994,6.9,357000.0,Chuck Russell,Jim Carrey
Speed,Action,1994,7.2,339000.0,Jan de Bont,Keanu Reeves
Stargate,Action,1994,7.1,180000.0,Roland Emmerich,Kurt Russell
The Little Rascals,Comedy,1994,6.3,45000.0,Penelope Spheeris,Travis Tedford
Dumb and Dumber,Comedy,1994,7.3,361000.0,Peter Farrelly,Jim Carrey
Legends of the Fall,Drama,1994,7.5,154000.0,Edward Zwick,Brad Pitt
Natural Born Killers,Action,1994,7.3,222000.0,Oliver Stone,Woody Harrelson
The Crow,Action,1994,7.6,170000.0,Alex Proyas,Brandon Lee
Interview with the Vampire: the Vampire Chronicles,Drama,1994,7.5,301000.0,Neil Jordan,Brad Pitt
Four Weddings and a Funeral,Comedy,1994,7.1,144000.0,Mike Newell,Hugh Grant
The Flintstones,Comedy,1994,4.9,77000.0,Brian Levant,John Goodman
Ace Ventura: Pet Detective,Comedy,1994,6.9,284000.0,Tom Shadyac,Jim Carrey
Little Women,Drama,1994,7.3,54000.0,Gillian Armstrong,Susan Sarandon
Street Fighter,Action,1994,4.0,67000.0,Steven E. de Souza,Jean-Claude Van Damme
Chungking Express,Comedy,1994,8.1,69000.0,Kar-Wai Wong,Brigitte Lin
Clear and Present Danger,Action,1994,6.9,93000.0,Phillip Noyce,Harrison Ford
D2: The Mighty Ducks,Comedy,1994,6.1,38000.0,Sam Weisman,Emilio Estevez
Heavenly Creatures,Biography,1994,7.3,60000.0,Peter Jackson,Melanie Lynskey
Clerks,Comedy,1994,7.7,214000.0,Kevin Smith,Brian O'Halloran
Camp Nowhere,Adventure,1994,6.1,9100.0,Jonathan Prince,Jonathan Jackson
Maverick,Action,1994,7.0,104000.0,Richard Donner,Mel Gibson
Wyatt Earp,Adventure,1994,6.7,47000.0,Lawrence Kasdan,Kevin Costner
The Last Seduction,Crime,1994,7.1,22000.0,John Dahl,Linda Fiorentino
"The Adventures of Priscilla, Queen of the Desert",Comedy,1994,7.5,48000.0,Stephan Elliott,Hugo Weaving
Little Giants,Comedy,1994,6.4,27000.0,Duwayne Dunham,Rick Moranis
Ed Wood,Biography,1994,7.8,168000.0,Tim Burton,Johnny Depp
Star Trek: Generations,Action,1994,6.6,78000.0,David Carson,Patrick Stewart
Disclosure,Drama,1994,6.1,48000.0,Barry Levinson,Michael Douglas
Angels in the Outfield,Comedy,1994,6.2,30000.0,William Dear,Danny Glover
In the Mouth of Madness,Drama,1994,7.2,64000.0,John Carpenter,Sam Neill
Richie Rich,Comedy,1994,5.4,66000.0,Donald Petrie,Macaulay Culkin
Beverly Hills Cop III,Action,1994,5.6,78000.0,John Landis,Eddie Murphy
Reality Bites,Comedy,1994,6.6,47000.0,Ben Stiller,Winona Ryder
Naked Gun 33 1/3: the Final Insult,Comedy,1994,6.5,100000.0,Peter Segal,Leslie Nielsen
Sirens,Comedy,1994,5.9,10000.0,John Duigan,Hugh Grant
Three Colors: Red,Drama,1994,8.1,94000.0,Krzysztof Kieslowski,Irène Jacob
Junior,Comedy,1994,4.6,66000.0,Ivan Reitman,Arnold Schwarzenegger
New Nightmare,Fantasy,1994,6.5,53000.0,Wes Craven,Heather Langenkamp
Baby's Day Out,Adventure,1994,6.2,48000.0,Patrick Read Johnson,Lara Flynn Boyle
The River Wild,Adventure,1994,6.4,43000.0,Curtis Hanson,Meryl Streep
Airheads,Comedy,1994,6.1,47000.0,Michael Lehmann,Brendan Fraser
Texas Chainsaw Massacre: The Next Generation,Comedy,1994,3.3,21000.0,Kim Henkel,Renée Zellweger
The Next Karate Kid,Action,1994,4.5,28000.0,Christopher Cain,Pat Morita
Blown Away,Action,1994,6.2,29000.0,Stephen Hopkins,Jeff Bridges
Color of Night,Mystery,1994,5.2,23000.0,Richard Rush,Bruce Willis
North,Adventure,1994,4.5,13000.0,Rob Reiner,Elijah Wood
Muriel's Wedding,Comedy,1994,7.2,37000.0,P.J. Hogan,Toni Collette
The Client,Crime,1994,6.7,62000.0,Joel Schumacher,Susan Sarandon
Blank Check,Comedy,1994,5.3,19000.0,Rupert Wainwright,Brian Bonsall
It Could Happen to You,Comedy,1994,6.4,37000.0,Andrew Bergman,Nicolas Cage
Only You,Comedy,1994,6.5,21000.0,Norman Jewison,Marisa Tomei
Once Were Warriors,Crime,1994,7.9,32000.0,Lee Tamahori,Rena Owen
Wolf,Drama,1994,6.2,54000.0,Mike Nichols,Jack Nicholson
Mary Shelley's Frankenstein,Drama,1994,6.4,53000.0,Kenneth Branagh,Robert De Niro
Exit to Eden,Comedy,1994,4.3,6600.0,Garry Marshall,Dana Delany
The Jungle Book,Adventure,1994,6.0,17000.0,Stephen Sommers,Jason Scott Lee
The Hudsucker Proxy,Comedy,1994,7.2,78000.0,Joel Coen,Tim Robbins
Timecop,Action,1994,5.9,57000.0,Peter Hyams,Jean-Claude Van Damme
The Santa Clause,Comedy,1994,6.5,102000.0,John Pasquin,Tim Allen
The Specialist,Action,1994,5.6,63000.0,Luis Llosa,Sylvester Stallone
The Pagemaster,Animation,1994,6.1,22000.0,Pixote Hunt,Macaulay Culkin
Shallow Grave,Crime,1994,7.3,58000.0,Danny Boyle,Kerry Fox
Serial Mom,Comedy,1994,6.8,28000.0,John Waters,Kathleen Turner
Bad Girls,Action,1994,5.2,12000.0,Jonathan Kaplan,Madeleine Stowe
The Shadow,Action,1994,6.1,24000.0,Russell Mulcahy,Alec Baldwin
When a Man Loves a Woman,Drama,1994,6.6,21000.0,Luis Mandoki,Meg Ryan
Blue Sky,Drama,1994,6.4,7000.0,Tony Richardson,Jessica Lange
Quiz Show,Biography,1994,7.5,66000.0,Robert Redford,Ralph Fiennes
Surviving the Game,Action,1994,6.2,11000.0,Ernest R. Dickerson,Rutger Hauer
My Father the Hero,Comedy,1994,5.5,11000.0,Steve Miner,Gérard Depardieu
Nell,Drama,1994,6.5,28000.0,Michael Apted,Jodie Foster
Three Colors: White,Comedy,1994,7.6,67000.0,Krzysztof Kieslowski,Zbigniew Zamachowski
My Girl 2,Comedy,1994,5.3,19000.0,Howard Zieff,Dan Aykroyd
Chasers,Action,1994,5.1,5900.0,Dennis Hopper,Tom Berenger
The Getaway,Action,1994,5.8,17000.0,Roger Donaldson,Alec Baldwin
Major League II,Comedy,1994,5.6,25000.0,David S. Ward,Charlie Sheen
Torment,Crime,1994,7.1,4500.0,Claude Chabrol,Emmanuelle Béart
Don Juan DeMarco,Comedy,1994,6.7,49000.0,Jeremy Leven,Johnny Depp
Exotica,Drama,1994,7.1,19000.0,Atom Egoyan,Bruce Greenwood
Clifford,Comedy,1994,5.5,7100.0,Paul Flaherty,Martin Short
Thumbelina,Animation,1994,6.4,16000.0,Don Bluth,Jodi Benson
Double Dragon,Action,1994,3.8,12000.0,James Yukich,Robert Patrick
Death and the Maiden,Drama,1994,7.3,23000.0,Roman Polanski,Sigourney Weaver
PCU,Comedy,1994,6.6,12000.0,Hart Bochner,Jeremy Piven
The Postman,Biography,1994,7.7,34000.0,Michael Radford,Massimo Troisi
8 Seconds,Biography,1994,6.6,4900.0,John G. Avildsen,Luke Perry
The Madness of King George,Biography,1994,7.2,16000.0,Nicholas Hytner,Nigel Hawthorne
Of Love and Shadows,Drama,1994,5.1,2000.0,Betty Kaplan,Antonio Banderas
Nobody's Fool,Comedy,1994,7.4,19000.0,Robert Benton,Paul Newman
Wagons East,Adventure,1994,4.8,5200.0,Peter Markle,John Candy
The Secret of Roan Inish,Drama,1994,7.5,7400.0,John Sayles,Jeni Courtney
Above the Rim,Crime,1994,6.6,15000.0,Jeff Pollack,Duane Martin
Greedy,Comedy,1994,6.3,13000.0,Jonathan Lynn,Michael J. Fox
With Honors,Comedy,1994,6.7,14000.0,Alek Keshishian,Joe Pesci
Police Academy: Mission to Moscow,Comedy,1994,3.5,32000.0,Alan Metter,G.W. Bailey
Little Big League,Comedy,1994,6.1,10000.0,Andrew Scheinman,Luke Edwards
On Deadly Ground,Action,1994,4.6,23000.0,Steven Seagal,Steven Seagal
Ready to Wear,Comedy,1994,5.2,15000.0,Robert Altman,Sophia Loren
Bullets Over Broadway,Comedy,1994,7.4,36000.0,Woody Allen,John Cusack
Queen Margot,Biography,1994,7.4,17000.0,Patrice Chéreau,Isabelle Adjani
Crooklyn,Comedy,1994,7.0,9700.0,Spike Lee,Alfre Woodard
Spanking the Monkey,Comedy,1994,6.3,6000.0,David O. Russell,Jeremy Davies
The Legend of Drunken Master,Action,1994,7.6,44000.0,Chia-Liang Liu,Jackie Chan
Intersection,Drama,1994,5.4,7900.0,Mark Rydell,Richard Gere
Sister My Sister,Drama,1994,6.6,3200.0,Nancy Meckler,Julie Walters
Miracle on 34th Street,Family,1994,6.5,33000.0,Les Mayfield,Richard Attenborough
The Swan Princess,Animation,1994,6.5,23000.0,Richard Rich,Jack Palance
Threesome,Comedy,1994,6.3,13000.0,Andrew Fleming,Lara Flynn Boyle
The War,Drama,1994,6.8,12000.0,Jon Avnet,Elijah Wood
The Chase,Action,1994,5.8,18000.0,Adam Rifkin,Charlie Sheen
Milk Money,Comedy,1994,5.6,12000.0,Richard Benjamin,Melanie Griffith
Renaissance Man,Comedy,1994,6.2,17000.0,Penny Marshall,Danny DeVito
S.F.W.,Comedy,1994,5.8,4800.0,Jefery Levy,Stephen Dorff
Jason's Lyric,Crime,1994,6.6,3800.0,Doug McHenry,Allen Payne
Immortal Beloved,Biography,1994,7.4,24000.0,Bernard Rose,Gary Oldman
Eat Drink Man Woman,Comedy,1994,7.8,19000.0,Ang Lee,Sihung Lung
Blue Chips,Drama,1994,6.2,13000.0,William Friedkin,Nick Nolte
The Cowboy Way,Action,1994,5.9,7900.0,Gregg Champion,Woody Harrelson
No Escape,Action,1994,6.1,19000.0,Martin Campbell,Ray Liotta
The Road to Wellville,Comedy,1994,5.9,12000.0,Alan Parker,Anthony Hopkins
Andre,Adventure,1994,5.7,6500.0,George Miller,Tina Majorino
Highlander: The Final Dimension,Action,1994,4.5,20000.0,Andrew Morahan,Christopher Lambert
Cemetery Man,Comedy,1994,7.1,20000.0,Michele Soavi,Rupert Everett
Death Machine,Action,1994,5.6,4000.0,Stephen Norrington,Brad Dourif
Ashes of Time,Action,1994,7.1,14000.0,Kar-Wai Wong,Brigitte Lin
Brainscan,Comedy,1994,6.1,11000.0,John Flynn,Edward Furlong
Cabin Boy,Adventure,1994,5.3,8200.0,Adam Resnick,Chris Elliott
Guarding Tess,Comedy,1994,6.2,16000.0,Hugh Wilson,Shirley MacLaine
Black Beauty,Adventure,1994,6.6,9500.0,Caroline Thompson,Sean Bean
Iron Will,Adventure,1994,6.6,7900.0,Charles Haid,Mackenzie Astin
Drop Zone,Action,1994,5.6,19000.0,John Badham,Wesley Snipes
Through the Olive Trees,Drama,1994,7.8,7100.0,Abbas Kiarostami,Mohamad Ali Keshavarz
To Live,Drama,1994,8.3,17000.0,Yimou Zhang,You Ge
In the Army Now,Comedy,1994,5.0,13000.0,Daniel Petrie Jr.,Pauly Shore
Trapped in Paradise,Adventure,1994,5.9,13000.0,George Gallo,Nicolas Cage
Death Wish: The Face of Death,Action,1994,4.9,7200.0,Allan A. Goldstein,Charles Bronson
City Slickers II: the Legend of Curly's Gold,Comedy,1994,5.5,19000.0,Paul Weiland,Billy Crystal
"Corrina, Corrina",Comedy,1994,6.6,13000.0,Jessie Nelson,Ray Liotta
The Ref,Comedy,1994,6.9,24000.0,Ted Demme,Denis Leary
I.Q.,Comedy,1994,6.2,24000.0,Fred Schepisi,Tim Robbins
3 Ninjas Kick Back,Action,1994,4.6,8600.0,Charles T. Kanganis,Victor Wong
It's Pat: the Movie,Comedy,1994,2.7,9500.0,Adam Bernstein,Julia Sweeney
The Favor,Comedy,1994,5.2,2700.0,Donald Petrie,Harley Jane Kozak
The Paper,Comedy,1994,6.6,13000.0,Ron Howard,Michael Keaton
Terminal Velocity,Action,1994,5.5,13000.0,Deran Sarafian,Charlie Sheen
China Moon,Crime,1994,6.3,6200.0,John Bailey,Ed Harris
Cops and Robbersons,Comedy,1994,5.2,6400.0,Michael Ritchie,Chevy Chase
Little Odessa,Crime,1994,6.7,7600.0,James Gray,Tim Roth
Lassie,Family,1994,5.9,5400.0,Daniel Petrie,Helen Slater
Monkey Trouble,Adventure,1994,5.3,6500.0,Franco Amurri,Thora Birch
Fresh,Crime,1994,7.6,12000.0,Boaz Yakin,Sean Nelson
The Puppet Masters,Horror,1994,5.9,8500.0,Stuart Orme,Donald Sutherland
The Scout,Comedy,1994,5.4,6000.0,Michael Ritchie,Albert Brooks
Backbeat,Biography,1994,6.7,5900.0,Iain Softley,Stephen Dorff
Leprechaun 2,Comedy,1994,4.6,9300.0,Rodman Flender,Warwick Davis
Love Affair,Comedy,1994,6.0,4500.0,Glenn Gordon Caron,Warren Beatty
Mixed Nuts,Comedy,1994,5.4,11000.0,Nora Ephron,Steve Martin
Silent Fall,Drama,1994,5.9,3700.0,Bruce Beresford,Richard Dreyfuss
House Party 3,Comedy,1994,4.7,4800.0,Eric Meza,Christopher Reid
The Air Up There,Comedy,1994,5.5,8500.0,Paul Michael Glaser,Kevin Bacon
Sleep with Me,Comedy,1994,5.7,2500.0,Rory Kelly,Craig Sheffer
Princess Caraboo,Comedy,1994,6.0,2500.0,Michael Austin,Phoebe Cates
A Low Down Dirty Shame,Action,1994,6.0,6700.0,Keenen Ivory Wayans,Keenen Ivory Wayans
Lightning Jack,Comedy,1994,5.5,6500.0,Simon Wincer,Paul Hogan
A Pure Formality,Crime,1994,7.7,11000.0,Giuseppe Tornatore,Gérard Depardieu
Swimming with Sharks,Comedy,1994,7.1,22000.0,George Huang,Kevin Spacey
I Love Trouble,Action,1994,5.3,12000.0,Charles Shyer,Nick Nolte
A Troll in Central Park,Animation,1994,5.4,6300.0,Don Bluth,Dom DeLuise
Mosquito,Horror,1994,4.7,2200.0,Gary Jones,Gunnar Hansen
Blankman,Action,1994,5.0,9200.0,Mike Binder,Damon Wayans
Trading Mom,Comedy,1994,5.6,1800.0,Tia Brelis,Sissy Spacek
A Simple Twist of Fate,Comedy,1994,6.3,5200.0,Gillies MacKinnon,Steve Martin
Farinelli,Biography,1994,6.8,6500.0,Gérard Corbiau,Stefano Dionisi
Priest,Drama,1994,7.1,9800.0,Antonia Bird,Linus Roache
Mrs. Parker and the Vicious Circle,Biography,1994,6.4,4300.0,Alan Rudolph,Jennifer Jason Leigh
Barcelona,Comedy,1994,7.0,5800.0,Whit Stillman,Taylor Nichols
Pred dozhdot,Drama,1994,8.0,14000.0,Milcho Manchevski,Katrin Cartlidge
Burnt by the Sun,Drama,1994,7.9,15000.0,Nikita Mikhalkov,Nikita Mikhalkov
War of the Buttons,Adventure,1994,7.4,4100.0,John Roberts,Gregg Fitzgerald
There Goes My Baby,Comedy,1994,6.4,1000.0,Floyd Mutrux,Dermot Mulroney
The Sum of Us,Comedy,1994,7.3,5200.0,Geoff Burton,Jack Thompson
Radioland Murders,Comedy,1994,6.2,3400.0,Mel Smith,Brian Benben
The Inkwell,Comedy,1994,6.4,1400.0,Matty Rich,Larenz Tate
Being Human,Comedy,1994,5.4,3800.0,Bill Forsyth,Robin Williams
Jimmy Hollywood,Crime,1994,5.3,3100.0,Barry Levinson,Joe Pesci
Holy Matrimony,Comedy,1994,5.1,1400.0,Leonard Nimoy,Patricia Arquette
Tom & Viv,Biography,1994,6.3,1600.0,Brian Gilbert,Willem Dafoe
Squanto: A Warrior's Tale,Adventure,1994,6.0,1100.0,Xavier Koller,Adam Beach
My Summer Story,Comedy,1994,5.6,1500.0,Bob Clark,Charles Grodin
